id,ano,valor_total
204364,2025,494221.95999999996
204540,2024,494207.14
74356,2023,494104.93999999965
178896,2025,493940.4299999998
220604,2025,493350.42
160666,2025,493246.30000000005
220632,2024,493127.58999999973
160601,2024,493087.5200000001
204407,2023,493017.01000000077
220631,2025,492694.9199999998
141391,2025,492617.6099999994
160642,2024,492602.69000000006
204390,2025,492568.73000000004
220648,2025,492540.68000000005
220635,2025,492366.18999999994
204508,2024,492347.0499999998
178987,2023,492105.81999999966
220617,2024,492095.47000000015
141487,2024,492073.39999999973
220564,2023,492020.34999999916
150418,2023,491985.67000000045
141431,2025,491694.31000000006
220597,2023,491455.1500000001
226837,2024,491446.5499999999
220649,2023,491262.16999999975
220599,2025,491257.2800000001
220547,2023,491252.85000000015
178986,2024,491227.8200000001
178931,2023,491220.8399999999
214694,2024,491194.11000000045
220647,2025,491129.08000000013
204408,2023,491111.7099999992
204492,2023,491048.1899999999
204457,2023,491002.8399999997
220670,2023,490795.4800000002
204511,2023,490314.11999999906
204501,2023,490185.22
220706,2025,490148.58000000013
220527,2023,490132.24000000017
178876,2024,490093.9500000001
107970,2025,489968.85000000056
141431,2024,489948.0199999999
204506,2024,489898.40000000014
220628,2024,489862.40999999986
220632,2025,489752.30999999994
160601,2023,489698.4199999995
204540,2025,489507.2100000001
161550,2025,489402.5700000002
220557,2023,489286.53999999946
220603,2023,489275.07999999914
178858,2023,489182.01999999996
74371,2024,489158.80999999994
74161,2024,489157.91000000085
73433,2025,488690.79999999993
74376,2024,488383.98999999976
92776,2025,488381.9100000002
178963,2023,488365.73999999993
74159,2025,488288.9699999999
74554,2024,488182.3200000002
74371,2025,487910.20999999996
74537,2025,487582.6899999995
178910,2023,487484.9000000003
74283,2025,487438.8500000001
160535,2025,487355.51999999885
220631,2023,487297.51
220527,2024,487268.36999999976
141555,2023,487120.9399999994
204494,2025,487072.3699999999
222429,2025,486798.5299999999
160556,2025,486703.56999999954
178986,2025,486547.0599999995
178934,2023,486535.7399999998
220646,2025,486464.6500000004
204445,2024,486436.4499999999
178987,2025,486393.98000000004
220646,2023,486379.00999999983
160632,2024,486206.8199999999
220599,2024,486127.6699999999
220630,2024,486091.1899999998
160556,2024,485857.6299999995
220616,2024,485631.3700000002
179000,2025,485480.7200000004
220652,2024,485474.6100000003
220645,2024,485376.03999999975
107970,2024,485200.3700000004
220626,2025,485081.1800000001
73604,2025,485006.4199999999
141485,2023,484997.94000000024
204390,2024,484974.59
204539,2025,484919.6099999998
220529,2023,484442.31000000006
220530,2023,484403.5299999999
220626,2023,484330.7199999997
206018,2023,484307.0699999989
204518,2023,484281.82999999984
220611,2025,484278.37
220602,2024,484278.2800000002
74848,2025,483894.12999999995
141531,2024,483668.34999999957
204508,2025,483376.3500000001
204480,2023,483226.1800000001
220701,2025,483204.6900000001
204455,2024,483095.04000000056
138286,2025,483065.65000000014
205476,2023,482932.1899999997
204411,2024,482454.54000000004
160535,2024,482392.22999999917
178881,2023,482257.54999999976
160588,2025,482215.47999999986
220550,2025,481894.58999999973
220683,2023,481627.1900000005
220694,2024,481538.0200000002
141456,2023,481528.6500000001
160161,2023,481520.9799999998
204456,2025,481451.04999999993
220652,2023,481263.6000000002
74646,2025,481151.12000000017
220624,2024,481117.6100000003
220598,2024,481045.4300000004
220570,2024,480649.8000000001
98057,2025,480277.8499999999
204441,2025,480202.69999999995
88256,2023,479945.0799999998
221338,2025,479697.6399999995
204508,2023,479521.3100000003
198197,2024,479273.1899999993
178986,2023,479105.6299999997
204535,2024,478521.1799999998
74646,2024,478463.2000000006
66385,2025,478357.79000000004
220583,2025,478145.0400000001
171617,2025,477932.1900000003
204495,2025,477900.0399999999
220569,2025,477804.3199999999
204409,2023,477780.1900000004
74253,2023,477741.80999999953
178970,2024,477698.33000000037
179001,2024,477653.41000000015
160592,2025,477623.6299999998
160640,2025,477616.78
210989,2023,477266.77
220652,2025,477152.17999999993
220613,2024,477144.87000000005
220618,2024,477131.66000000003
160558,2023,476741.97000000026
204404,2025,476728.22999999934
72442,2024,476688.40999999957
220612,2023,476599.30999999976
69871,2024,476527.22000000055
204511,2024,476369.3999999998
220649,2024,476218.6
220693,2024,475742.61000000004
74156,2023,475663.84999999957
204356,2023,475652.0599999999
204460,2023,475307.8299999996
204457,2025,475077.33000000013
204492,2025,474813.61000000004
204412,2025,473877.0200000001
98057,2024,473873.0799999999
160632,2023,473809.4200000003
141450,2025,473392.70999999973
220615,2023,473201.939999999
204390,2023,473183.55
141555,2024,472665.51000000024
160161,2024,472506.5300000008
220647,2023,472306.8600000006
160592,2023,471866.1199999995
204441,2024,471838.85000000044
178943,2025,471801.1599999998
141516,2025,471491.1200000006
160666,2023,471490.69999999995
73701,2025,471467.2899999999
204445,2023,471370.78999999986
160588,2023,471247.78
204572,2024,470459.4300000006
141555,2025,470345.29000000027
220704,2023,470323.2899999996
220632,2023,470216.42999999743
178947,2023,469940.52999999956
74371,2023,469826.4999999999
221148,2025,469351.33999999985
204525,2025,469175.37
178854,2023,469162.26000000024
204364,2023,469126.8600000003
74856,2024,469088.6999999998
178992,2023,469044.0200000003
74856,2025,469017.1199999999
220552,2025,468808.7999999998
220700,2024,468693.9500000001
178937,2024,468301.3800000002
74537,2024,468246.2200000003
74574,2023,468026.33000000025
160512,2023,467838.68999999925
171786,2025,467474.38000000006
220655,2025,467463.95999999985
160976,2023,467394.8100000001
220599,2023,467161.87999999954
160558,2024,467118.76999999955
206018,2025,466851.12999999983
220620,2024,466554.79999999993
204517,2023,466452.93
160518,2023,466426.3299999997
122158,2025,466166.66000000027
73579,2024,465663.57999999996
204491,2023,465616.17000000016
179000,2023,465248.09000000026
214694,2023,464944.60999999975
74084,2023,464826.54999999976
220655,2024,464745.18999999977
74858,2023,464693.039999999
220606,2023,464549.689999999
160599,2025,464440.4399999978
74784,2025,464417.0899999997
220611,2024,464317.90000000055
204391,2023,464091.7
221328,2023,464051.6300000005
204464,2025,464049.6599999998
220611,2023,464045.9000000002
160599,2023,464038.58999999723
220526,2024,463461.4900000001
204506,2023,463417.63999999996
178972,2025,463216.74
220623,2023,463076.6599999994
204540,2023,462899.85
178873,2025,462813.56999999884
74161,2025,462810.4299999998
220693,2023,462315.07999999984
178970,2025,461982.52999999985
160558,2025,461728.73999999947
