id,nomeCivil,siglaUF,siglaPartido
178989,RENATA HELLMEISTER DE ABREU,SP,PODE
153423,RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE,PA,MDB
73801,RENILDO VASCONCELOS CALHEIROS,PE,PCdoB
175765,RIBAMAR ANTONIO DA SILVA,SP,PSD
235088,AIRES DO ESPIRITO SANTO RIBEIRO NETO,MA,PRD
221329,RICARDO MARTINS DAVID,RJ,UNIÃO
220543,RICARDO AYRES DE CARVALHO,TO,REPUBLICANOS
73788,RICARDO JOSÉ MAGALHÃES BARROS,PR,PP
234310,RICARDO MAGNUS OSÓRIO GALVÃO,SP,REDE
204362,RICARDO ZANATTA GUIDI,SC,PL
220694,RICARDO MAIA CHAVES DE SOUZA,BA,MDB
